Module,Family,Method,Path,Mutation,Deprecated,Params,Body,Returns,Description,Role,UI,Priority,Wired(FE floor),Live@8000(tested)
"Command Center","command-center","GET","/command-center/projects/{project_id}/scores","","","project_id*, days","","object","Per-project DQ/COST/PERF/GOV scores  each flagged scope=project|account","ACCOUNTADMIN","Command Center › Projects Scores","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/query-intelligence","","","days, user, warehouse","","object","Top queries  slow queries  errors","ACCOUNTADMIN","Command Center › Query Intelligence","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/recommendations","","","days","","object","Actionable recommendations + CTAs across DQ/GOV/PERF/STORAGE/COST","ACCOUNTADMIN","Command Center › Recommendations","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/recommendations/{dimension}","","","dimension*, days","","object","Recommendations + CTAs for one dimension (dq|gov|perf|storage|cost)","ACCOUNTADMIN","Command Center › Recommendations","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/role-hierarchy","","","","","object","Role inheritance tree + per-role priv/user counts","ACCOUNTADMIN","Command Center › Role Hierarchy","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/security-audit","","","days, user","","object","Security & audit intelligence","ACCOUNTADMIN","Command Center › Security Audit","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/snowflake-insights","","","","","object","AI analysis of Snowflake features → actionable  coherently-routed insights","ACCOUNTADMIN","Command Center › Snowflake Insights","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/summary","","","user, warehouse, database, role","","object","Executive summary — all-module KPIs","ACCOUNTADMIN","Command Center › Summary","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/table-storage","","","limit","","object","Per-table storage breakdown (active/TT/failsafe/clone + est $)","ACCOUNTADMIN","Command Center › Table Storage","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/tabs/{tab}","","","tab*, days, account_name","","object","Consolidated per-tab payload (kpis+charts+tables)","ACCOUNTADMIN","Command Center › Tabs","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/task-history","","","days","","object","Per-task execution + serverless cost","ACCOUNTADMIN","Command Center › Task History","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/time-context","","","preset, start_date, end_date","","object","Parse time range + compute comparison period","ACCOUNTADMIN","Command Center › Time Context","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/user-activity-monitor","","","days, account","","object","Per-user activity & error rollup from EVENT_STORE.USER_REQUESTS","ACCOUNTADMIN","Command Center › User Activity Monitor","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/user-activity-monitor/errors","","","days, limit, user, account, min_status","","object","Recent per-user errors from EVENT_STORE.USER_REQUESTS","ACCOUNTADMIN","Command Center › User Activity Monitor Errors","P2","MISSING","served (gated)"
"Command Center","command-center","GET","/command-center/warehouse-performance","","","days, warehouse","","object","Warehouse utilization & performance","ACCOUNTADMIN","Command Center › Warehouse Performance","P2","MISSING","served (gated)"
"Command Center","command-center","POST","/command-center/warm-user-cache","yes","","","","object","Warm all essential caches for current user","any","Command Center › Cache Warm","P1","MISSING","mutation (not probed)"
"common","common","GET","/common/databases","","","","","object","Step 2: Choose database","any","Common › Databases","P2","MISSING","served (gated)"
"common","common","GET","/common/get_table_columns","","","database_name, schema_name, table_name, database, schema, table","","object","Get table columns","any","Common › Get Table Columns","P2","MISSING","served (gated)"
"common","common","GET","/common/get_table_columns/","","","database_name, schema_name, table_name, database, schema, table","","object","Get table columns (trailing slash)","any","Common › Get Table Columns","P2","MISSING","served (gated)"
"common","common","GET","/common/schemas/{database_name}","","","database_name*","","object","Step 3: Choose schema","any","Common › Schemas","P2","MISSING","served (gated)"
"common","common","GET","/common/tables/{database_name}/{schema_name}","","","database_name*, schema_name*","","object","Step 4: Choose table","any","Common › Tables","P2","MISSING","served (gated)"
"Connect Data","connect","POST","/connect/aws/stage","yes","","","AWSStageBody","object","Create AWS stage","RETAIL_DATA_ENGINEER","Connect Data › AWS Stage","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/aws/storage_integration","yes","","","AWSStorageIntegrationBody","object","Create AWS storage integration","RETAIL_DATA_ENGINEER","Connect Data › AWS Storage Integration","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/azure/notification_integration","yes","","","AzureNotificationIntegrationBody","object","Create Azure notification integration","RETAIL_DATA_ENGINEER","Connect Data › Azure Notification Integration","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/azure/snowpipe","yes","","","AzureSnowpipeBody","object","Create Azure Snowpipe","RETAIL_DATA_ENGINEER","Connect Data › Azure Snowpipe","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/azure/stage","yes","","","AzureStageBody","object","Create Azure external stage (pre-hook: consent done)","RETAIL_DATA_ENGINEER","Connect Data › Azure Stage","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/azure/storage_integration","yes","","","AzureStorageIntegrationBody","object","Create Azure storage integration (post-hook: user consent in Azure)","RETAIL_DATA_ENGINEER","Connect Data › Azure Storage Integration","","wired","mutation (not probed)"
"Connect Data","connect","GET","/connect/connectors","","","","","object","List available connector types and capabilities","RETAIL_DATA_ENGINEER","Connect Data › Connectors","","wired","served (gated)"
"Connect Data","connect","GET","/connect/connectors/{connector_id}","","","connector_id*","","object","Connector detail (catalog entry + best-effort last-sync)","RETAIL_DATA_ENGINEER","Connect Data › Connectors","P1","MISSING","served (gated)"
"Connect Data","connect","POST","/connect/connectors/{connector_id}/sync","yes","","connector_id*","","object","Trigger a connector sync (EXECUTE TASK) — 409 if no target","RETAIL_DATA_ENGINEER","Connect Data › Connectors Sync","P0","MISSING","mutation (not probed)"
"Connect Data","connect","POST","/connect/connectors/{connector_id}/test","yes","","connector_id*","","object","Validate connector connectivity config (no fake success)","RETAIL_DATA_ENGINEER","Connect Data › Connectors Test","P0","MISSING","mutation (not probed)"
"Connect Data","connect","GET","/connect/connectors/health","","","","","object","Health status of all connected sources","RETAIL_DATA_ENGINEER","Connect Data › Connectors Health","P1","MISSING","served (gated)"
"Connect Data","connect","POST","/connect/databricks/catalogs","yes","","","DatabricksConnectBody","object","List Databricks catalogs","RETAIL_DATA_ENGINEER","Connect Data › Databricks Catalogs","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/databricks/ingest","yes","","","DatabricksIngestBody","object","Ingest Databricks tables into Snowflake","RETAIL_DATA_ENGINEER","Connect Data › Databricks Ingest","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/databricks/schemas","yes","","catalog*","DatabricksConnectBody","object","List schemas in a catalog","RETAIL_DATA_ENGINEER","Connect Data › Databricks Schemas","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/databricks/tables","yes","","catalog*, schema_name*","DatabricksConnectBody","object","List tables in a schema","RETAIL_DATA_ENGINEER","Connect Data › Databricks Tables","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/databricks/test","yes","","","DatabricksConnectBody","object","Test Databricks connection","RETAIL_DATA_ENGINEER","Connect Data › Databricks Test","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/gcs/notification_integration","yes","","","GCSNotificationIntegrationBody","object","Create GCS notification integration","RETAIL_DATA_ENGINEER","Connect Data › GCS Notification Integration","P0","MISSING","mutation (not probed)"
"Connect Data","connect","POST","/connect/gcs/stage","yes","","","GCSStageBody","object","Create GCS external stage","RETAIL_DATA_ENGINEER","Connect Data › GCS Stage","P0","MISSING","mutation (not probed)"
"Connect Data","connect","POST","/connect/gcs/storage_integration","yes","","","GCSStorageIntegrationBody","object","Create GCS storage integration","RETAIL_DATA_ENGINEER","Connect Data › GCS Storage Integration","P0","MISSING","mutation (not probed)"
"Connect Data","connect","POST","/connect/iceberg/ingest","yes","","","IcebergIngestBody","object","Ingest Iceberg tables into Snowflake","RETAIL_DATA_ENGINEER","Connect Data › Iceberg Ingest","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/iceberg/namespaces","yes","","","IcebergConnectBody","object","List Iceberg namespaces","RETAIL_DATA_ENGINEER","Connect Data › Iceberg Namespaces","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/iceberg/tables","yes","","namespace*","IcebergConnectBody","object","List tables in a namespace","RETAIL_DATA_ENGINEER","Connect Data › Iceberg Tables","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/iceberg/test","yes","","","IcebergConnectBody","object","Test Iceberg REST catalog connection","RETAIL_DATA_ENGINEER","Connect Data › Iceberg Test","","wired","mutation (not probed)"
"Connect Data","connect","GET","/connect/integration","","","integration_name","","object","List or describe storage integrations (DESC INTEGRATION)","RETAIL_DATA_ENGINEER","Connect Data › Integration","","wired","served (gated)"
"Connect Data","connect","PATCH","/connect/integration/{integration_name}","yes","","integration_name*","AlterStorageIntegrationBody","object","Edit storage integration (ALTER STORAGE INTEGRATION)","RETAIL_DATA_ENGINEER","Connect Data › Integration","P0","MISSING","mutation (not probed)"
"Connect Data","connect","POST","/connect/mysql/ingest","yes","","","MySQLIngestBody","object","Ingest MySQL into Snowflake (standardized API)","RETAIL_DATA_ENGINEER","Connect Data › MySQL Ingest","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/oracle/ingest","yes","","","OracleIngestBody","object","Ingest Oracle data into Snowflake","RETAIL_DATA_ENGINEER","Connect Data › Oracle Ingest","P0","MISSING","mutation (not probed)"
"Connect Data","connect","POST","/connect/oracle/sample-stage","yes","","","","object","Load Oracle sample CSVs into Snowflake stage","RETAIL_DATA_ENGINEER","Connect Data › Oracle Sample Stage","P0","MISSING","mutation (not probed)"
"Connect Data","connect","POST","/connect/oracle/test","yes","","","OracleIngestBody","object","Test Oracle connection","RETAIL_DATA_ENGINEER","Connect Data › Oracle Test","P0","MISSING","mutation (not probed)"
"Connect Data","connect","POST","/connect/postgres/ingest","yes","","","PostgresIngestBody","object","Ingest PostgreSQL into Snowflake (standardized API)","RETAIL_DATA_ENGINEER","Connect Data › PostgreSQL Ingest","","wired","mutation (not probed)"
"Connect Data","connect","GET","/connect/snowflake_lake/databases","","","","","object","Step 2: Choose database","RETAIL_DATA_ENGINEER","Connect Data › Snowflake Lake Databases","P1","MISSING","served (gated)"
"Connect Data","connect","POST","/connect/snowflake_lake/datalake/connect","yes","","","SnowflakeDatalakeConnectBody","object","Connect Snowflake datalake","RETAIL_DATA_ENGINEER","Connect Data › Snowflake Lake Datalake","","wired","mutation (not probed)"
"Connect Data","connect","GET","/connect/snowflake_lake/schemas/{database_name}","","","database_name*","","object","Step 3: Choose schema","RETAIL_DATA_ENGINEER","Connect Data › Snowflake Lake Schemas","P1","MISSING","served (gated)"
"Connect Data","connect","GET","/connect/snowflake_lake/tables/{database_name}/{schema_name}","","","database_name*, schema_name*","","object","Step 4: Choose table","RETAIL_DATA_ENGINEER","Connect Data › Snowflake Lake Tables","P1","MISSING","served (gated)"
"Connect Data","connect","GET","/connect/source-catalog","","","database","","object","Enterprise source catalog with lineage  freshness  and domain tags","RETAIL_DATA_ENGINEER","Connect Data › Source Catalog","P1","MISSING","served (gated)"
"Connect Data","connect","GET","/connect/stages","","","page, page_size, sort_by, sort_dir, search","","object","List all stages","RETAIL_DATA_ENGINEER","Connect Data › Stages","","wired","served (gated)"
"Connect Data","connect","GET","/connect/stages/{stage_name}/files","","","stage_name*, path, sort","","object","List files in a stage","RETAIL_DATA_ENGINEER","Connect Data › Stages Files","","wired","served (gated)"
"Connect Data","connect","DELETE","/connect/stages/{stage_name}/files/{file_path}","yes","","stage_name*, file_path*","","object","Delete file (Datalake Browser)","RETAIL_DATA_ENGINEER","Connect Data › Stages Files","","wired","mutation (not probed)"
"Connect Data","connect","GET","/connect/stages/{stage_name}/files/{file_path}/download","","","stage_name*, file_path*","","object","Download file (Datalake Browser)","RETAIL_DATA_ENGINEER","Connect Data › Stages Files","","wired","not-probed"
"Connect Data","connect","GET","/connect/stages/{stage_name}/files/{file_path}/preview","","","stage_name*, file_path*, limit, offset, format","","object","Preview file content (Datalake Browser)","RETAIL_DATA_ENGINEER","Connect Data › Stages Files","","wired","served (gated)"
"Connect Data","connect","GET","/connect/stages/{stage_name}/grants","","","stage_name*","","object","List grants on a stage (governance)","RETAIL_DATA_ENGINEER","Connect Data › Stages Grants","","wired","served (gated)"
"Connect Data","connect","POST","/connect/stages/{stage_name}/upload","yes","","stage_name*, overwrite, path","","object","Upload files (Datalake Browser)","RETAIL_DATA_ENGINEER","Connect Data › Stages Upload","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/stages/internal","yes","","","InternalStageBody","object","Create internal stage (raw zone upload)","RETAIL_DATA_ENGINEER","Connect Data › Stages Internal","","wired","mutation (not probed)"
"Connect Data","connect","POST","/connect/tasks/{task_name}/resume","yes","","task_name*","","object","Resume a suspended task","RETAIL_DATA_ENGINEER","Connect Data › Tasks Resume","P0","MISSING","mutation (not probed)"
"Connect Data","connect","POST","/connect/tasks/{task_name}/suspend","yes","","task_name*","","object","Suspend a running task","RETAIL_DATA_ENGINEER","Connect Data › Tasks Suspend","P0","MISSING","mutation (not probed)"
"Data Products","data-products","POST","/data-products","yes","","","DataProductCreate","object","Register a data product","RETAIL_DATA_ENGINEER","Data Products","P1","MISSING","mutation (not probed)"
"Data Products","data-products","GET","/data-products","","","status, owner, limit","","object","List all data products","BI_ANALYST","Data Products","P2","MISSING","served (gated)"
"Data Products","data-products","GET","/data-products/{product_id}","","","product_id*","","object","Get data product detail","BI_ANALYST","Data Products","P2","MISSING","served (gated)"
"Data Products","data-products","GET","/data-products/{product_id}/consumers","","","product_id*","","object","Data product consumers (subscriber accounts + recent readers)","BI_ANALYST","Data Products › Consumers","P2","MISSING","served (gated)"
"Data Products","data-products","GET","/data-products/{product_id}/lineage","","","product_id*","","object","Data product lineage (OBJECT_DEPENDENCIES around TABLE_FQN)","BI_ANALYST","Data Products › Lineage","P2","MISSING","served (gated)"
"Data Products","data-products","POST","/data-products/{product_id}/publish","yes","","product_id*","","object","Publish a data product as a Snowflake SHARE (CREATE SHARE + GRANT … TO SHARE)","RETAIL_DATA_ENGINEER","Data Products › Publish","P1","MISSING","mutation (not probed)"
"Data Products","data-products","POST","/data-products/{product_id}/refresh","yes","","product_id*","","object","Refresh a stale data product's backing object (ALTER DYNAMIC TABLE … REFRESH)","RETAIL_DATA_ENGINEER","Data Products › Refresh","P1","MISSING","mutation (not probed)"
"Data Products","data-products","POST","/data-products/{product_id}/subscribe","yes","","product_id*","","object","Subscribe to a data product (real ALTER SHARE … ADD ACCOUNTS grant)","RETAIL_DATA_ENGINEER","Data Products › Subscribe","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","GET","/data-quality/anomalies","","","","","object","Snowflake ML anomaly-detector results (if any)","RETAIL_DATA_ENGINEER","Data Quality › Anomalies","P2","MISSING","served (gated)"
"Data Quality","data-quality","POST","/data-quality/anomaly-detection","yes","","","AnomalyDetectionRequest","object","Create/run a Snowflake ML anomaly detector","RETAIL_AI_ENGINEER","Data Quality › Anomaly Detection","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","POST","/data-quality/auto-profile","yes","","","AutoProfileRequest","object","Auto-profile a table (refresh column stats)","RETAIL_DATA_ENGINEER","Data Quality › Auto-Profile","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","GET","/data-quality/classification-coverage","","","limit","","object","Tag classification coverage","RETAIL_DATA_ENGINEER","Data Quality › Classification Coverage","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/completeness-metrics","","","database, offset, limit","","object","Column completeness from DMF NULL_COUNT","RETAIL_DATA_ENGINEER","Data Quality › Completeness Metrics","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/cost-metrics","","","database, offset, limit","","object","Storage and cost per table","RETAIL_DATA_ENGINEER","Data Quality › Cost Metrics","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/dmf-results","","","limit, days","","object","DMF execution results dashboard","RETAIL_DATA_ENGINEER","Data Quality › Dmf Results","P2","MISSING","served (gated)"
"Data Quality","data-quality","POST","/data-quality/dmf/associate","yes","","","AssociateDmfRequest","object","Associate a DMF with table column(s)","RETAIL_DATA_ENGINEER","Data Quality › DMF Associate","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","GET","/data-quality/dmf/breaches","","","table_name, project_id, limit","","object","DMF measurements vs thresholds -> breaches","RETAIL_DATA_ENGINEER","Data Quality › DMF Breaches","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/dmf/catalog","","","project_id","","object","Per-account DMF inventory (tables × metrics × breaches)","RETAIL_DATA_ENGINEER","Data Quality › DMF Catalog","P2","MISSING","served (gated)"
"Data Quality","data-quality","POST","/data-quality/dmf/custom","yes","","","CreateCustomDmfRequest","object","Create a custom Data Metric Function","RETAIL_DATA_ENGINEER","Data Quality › DMF Custom","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","POST","/data-quality/dmf/schedule","yes","","","SetScheduleRequest","object","Set the DMF evaluation schedule on a table","RETAIL_DATA_ENGINEER","Data Quality › DMF Schedule","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","POST","/data-quality/dmf/suggest","yes","","","_DmfSuggestBody","object","Suggest DMFs for a table (POST)","RETAIL_DATA_ENGINEER","Data Quality › DMF Suggest","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","POST","/data-quality/dmf/thresholds","yes","","","ThresholdRequest","object","Persist a per-(table  metric) threshold","RETAIL_DATA_ENGINEER","Data Quality › DMF Thresholds","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","GET","/data-quality/dmf/thresholds","","","table_name, project_id","","object","Read back active thresholds","RETAIL_DATA_ENGINEER","Data Quality › DMF Thresholds","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/freshness-metrics","","","database, offset, limit, max_age_hours","","object","Table freshness / staleness","RETAIL_DATA_ENGINEER","Data Quality › Freshness Metrics","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/ingestion-metrics","","","limit, days","","object","COPY_HISTORY ingestion tracking","RETAIL_DATA_ENGINEER","Data Quality › Ingestion Metrics","P2","MISSING","served (gated)"
"Data Quality","data-quality","POST","/data-quality/projects/{project_id}/dmf-check","yes","","project_id*, table*, columns*, dmf_name","","object","Run built-in DMF check","RETAIL_DATA_ENGINEER","Data Quality › Projects DMF Check","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","GET","/data-quality/projects/{project_id}/dmf-results","","","project_id*, table_name*","","object","Get DMF results for table","RETAIL_DATA_ENGINEER","Data Quality › Projects Dmf Results","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/projects/{project_id}/dmf-suggest","","","project_id*, table_name*","","object","Suggest DMFs for table","RETAIL_DATA_ENGINEER","Data Quality › Projects Dmf Suggest","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/quality-summary","","","database, page, page_size, sort_by, sort_dir, search","","object","Aggregated quality KPI summary","RETAIL_DATA_ENGINEER","Data Quality › Quality Summary","P2","MISSING","served (gated)"
"Data Quality","data-quality","POST","/data-quality/run-check","yes","","","QualityCheckConfig","StandardResponse","Run quality check","RETAIL_DATA_ENGINEER","Data Quality › Run Check","","wired","mutation (not probed)"
"Data Quality","data-quality","GET","/data-quality/run-history","","","table, project_id, limit","","StandardResponse","Past quality-check runs","RETAIL_DATA_ENGINEER","Data Quality › Run History","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/schema-quality","","","database, offset, limit","","object","Schema quality gaps","RETAIL_DATA_ENGINEER","Data Quality › Schema Quality","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/security-posture","","","database, offset, limit","","object","Security and compliance posture","RETAIL_DATA_ENGINEER","Data Quality › Security Posture","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/snapshot","","","database","","object","One-shot fan-out of all quality dimensions","RETAIL_DATA_ENGINEER","Data Quality › Snapshot","P2","MISSING","served (gated)"
"Data Quality","data-quality","POST","/data-quality/tables/{database}/{schema}/{table}/optimize","yes","","database*, schema*, table*","","object","Optimize a table (RECLUSTER if clustered  else no-op + suggestion)","RETAIL_DATA_ENGINEER","Data Quality › Tables Optimize","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","GET","/data-quality/trend-analysis","","","database, days","","object","Quality metric trends over time","RETAIL_DATA_ENGINEER","Data Quality › Trend Analysis","P2","MISSING","served (gated)"
"Data Quality","data-quality","POST","/data-quality/trust-center/enable","yes","","","TrustCenterEnableRequest","object","Opt a table into Trust-Center DQ tracking","RETAIL_GOVERNOR","Data Quality › Trust Center","P1","MISSING","mutation (not probed)"
"Data Quality","data-quality","GET","/data-quality/trust-center/recommendations","","","","","object","DQ-relevant Trust Center recommendations","RETAIL_DATA_ENGINEER","Data Quality › Trust Center Recommendations","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/trust-center/report","","","","","object","Trust-Center findings for opted-in tables","RETAIL_DATA_ENGINEER","Data Quality › Trust Center Report","P2","MISSING","served (gated)"
"Data Quality","data-quality","GET","/data-quality/uniqueness-metrics","","","database, offset, limit","","object","Column uniqueness / duplicate detection","RETAIL_DATA_ENGINEER","Data Quality › Uniqueness Metrics","P2","MISSING","served (gated)"
"Explore & Design","deployments","POST","/deployments/track","yes","","","StartDeploymentRequest","object","Starts a deployment-lifecycle record in the tracking spine  capturing project  kind  and initial step.","RETAIL_DATA_ENGINEER","Deployments › Deployment tracker (command center)","P0","MISSING","mutation (not probed)"
"Explore & Design","deployments","GET","/deployments/track","","","include_approvals_for_me, project_id, deployment_id, include_metrics, include_history, window_days, history_limit","","object","Active = PENDING / RUNNING / PENDING_APPROVAL (owner-or-approver scoped).","RETAIL_DATA_ENGINEER","Deployments › Deployment tracker (command center)","P1","MISSING","served (gated)"
"Explore & Design","deployments","GET","/deployments/track/{deployment_id}","","","deployment_id*","","object","Get current state of a deployment.","RETAIL_DATA_ENGINEER","Deployments › Deployment tracker (command center)","P1","MISSING","served (gated)"
"Explore & Design","deployments","POST","/deployments/track/{deployment_id}/approve","yes","","deployment_id*","ApproveRequest","object","Approves a pending tracked deployment  unblocking execution.","RETAIL_GOVERNOR","Deployments › Deployment tracker (command center)","P0","MISSING","mutation (not probed)"
"Explore & Design","deployments","POST","/deployments/track/{deployment_id}/complete","yes","","deployment_id*","CompleteRequest","object","Finalizes a tracked deployment with a terminal status (SUCCEEDED  FAILED  or CANCELLED).","RETAIL_DATA_ENGINEER","Deployments › Deployment tracker (command center)","P0","MISSING","mutation (not probed)"
"Explore & Design","deployments","POST","/deployments/track/{deployment_id}/execute","yes","","deployment_id*","app__modules__deployment_tracking__models__ExecuteRequest","object","Executes an approved tracked deployment (runs its steps).","RETAIL_DATA_ENGINEER","Deployments › Deployment tracker (command center)","P0","MISSING","mutation (not probed)"
"Explore & Design","deployments","POST","/deployments/track/{deployment_id}/reject","yes","","deployment_id*","RejectRequest","object","Rejects a pending tracked deployment.","RETAIL_GOVERNOR","Deployments › Deployment tracker (command center)","P0","MISSING","mutation (not probed)"
"Explore & Design","deployments","POST","/deployments/track/{deployment_id}/rollback","yes","","deployment_id*","app__modules__deployment_tracking__models__RollbackRequest","object","Rolls a tracked deployment's project back to a prior version.","RETAIL_DATA_ENGINEER","Deployments › Deployment tracker (command center)","P0","MISSING","mutation (not probed)"
"Explore & Design","deployments","PATCH","/deployments/track/{deployment_id}/step","yes","","deployment_id*","StepRequest","object","Advances a tracked deployment to its next step or records a per-step error.","RETAIL_DATA_ENGINEER","Deployments › Deployment tracker (command center)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","POST","/explore-design","yes","","","app__modules__projects__explore_design__models__ProjectCreate","object","Creates a new Explore & Design modeling project (a schema-design workspace over a chosen source database).","RETAIL_DATA_ENGINEER","Explore & Design › Modeling canvas","","wired","mutation (not probed)"
"Explore & Design","explore-design","GET","/explore-design/{project_id}","","","project_id*","","object","Get project detail.","RETAIL_DATA_ENGINEER","Explore & Design › Modeling canvas","","wired","served (gated)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/check-naming","yes","","project_id*","AINamingCheckRequest","object","Check naming conventions using pure Python rules (zero Cortex cost).","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/classify-columns","yes","","project_id*","AIColumnClassifyRequest","object","Classify columns using Cortex AI into semantic categories (PII  metric  dimension  etc.).","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/clustering-keys","yes","","project_id*","AIClusteringKeyRequest","object","Suggest optimal clustering keys based on query patterns and data distribution.","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/deploy-schedule","yes","","project_id*","AIDeployScheduleRequest","object","Find optimal deployment window based on warehouse usage patterns.","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/deployment-risk","yes","","project_id*","","object","Score deployment risk based on pending DDL actions for the project.","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/discover-relationships","yes","","project_id*","AIRelationshipDiscoverRequest","object","Discover potential FK relationships using column name similarity and Cortex embeddings.","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/feedback","yes","","project_id*","AIFeedbackRequest","object","Record user feedback on AI suggestions for continuous learning.","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","GET","/explore-design/{project_id}/ai/feedback/stats","","","project_id*, feature","","object","Get acceptance/rejection statistics for AI suggestions.","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P1","MISSING","served (gated)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/history","yes","","project_id*","AIHistoryCreate","object","Append an AI Change Analyst event (detection/suggestion/interview/outcome).","RETAIL_AI_ENGINEER","Explore & Design › Release panel (Deploy button / AI Change Analyst)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","GET","/explore-design/{project_id}/ai/history","","","project_id*, limit, kind, axis","","object","AI Change Analyst event feed (reverse-chronological).","RETAIL_AI_ENGINEER","Explore & Design › Release panel (Deploy button / AI Change Analyst)","P1","MISSING","served (gated)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/ingestion-mode","yes","","project_id*","AIIngestionModeRequest","object","Recommend optimal ingestion mode based on table characteristics.","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/materialization","yes","","project_id*","AIMaterializationRequest","object","Recommend whether to use table  view  materialized view  or dynamic table.","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
"Explore & Design","explore-design","POST","/explore-design/{project_id}/ai/optimize-types","yes","","project_id*","AITypeOptimizeRequest","object","Suggest optimized data types based on actual data patterns (zero Cortex cost).","RETAIL_AI_ENGINEER","Explore & Design › AI right-bar (7-axis signals)","P0","MISSING","mutation (not probed)"
